Name,Comment,Date
EDZ,"It's obvious from your posted comments that you are not a Maserati fan and I respect that, not everyone will be, just as not everyone are fans of Porsche, but it pays to do a little research sometimes before commenting. To quickly quote just one online review of many, this by Carexpert.com ""Orders pilling up especially for Trefeo"" and all dealers have many orders and potential orders for all models for it's general release and arrival in 2023. The special addition is a pre release model as all manufacturers do, usually for avid fans and die hard loyal customers of the brand. I'm not one of those but happened to be in the right place at the right time when the opportunity arose. I don't think Maserati are going to get rich or much coverage by only releasing 10 Trefeo Premaserie to the UK.","August 30, 2022"
Nella,Don’t look at the engine then!!!!!,"August 31, 2022"
Nella,You are very brave EDZ and I wish you the very best.Ps Will it come with a reversal screwdriver like my Fiat Panda did? I had to use that a lot!!!,"August 31, 2022"
andreas,"Well, actually, I generally like most Italian luxury cars, and Maseratis are no exception - although I don't particularly like the frontal styling.  However, I'm sadly not wealthy enough to pay the massive depreciation cost of virtually every Maserati, and I can't see that the Grecale will be any different.  Just a week ago,What Car?magazine published a review of the fastest-depreciating SUVs in the UK, and said that the Levante Trofeo loses a staggering£77Kin the first 3 yrs/36K miles. (https://www.whatcar.com/news/the-10-fas ... 2/n24885#6).You're quite right that it's important to research before commenting.  And you're right to say that Carexpert.com reported that dealer orders are piling up, especially for the Trofeo.  I'd make two comments. Firstly, they would say that wouldn't they?  Maserati and their dealer network are trying (as any manufacturer would) to generate interest in the car and drive traffic into the dealerships.  Secondly, the Carexpert.com article was talking purely about orders inAustralia, not the UK!","August 31, 2022"
New User,I can’t see the Grecale losing more than the X3M Competition quoted in that What Car report.. £60k over 3 years/36K Miles.. Not good for BMW to have two of the Top10 depreciation disaster SUVs in that list btw. Having owned an i8 that depreciated at £2k a month I have painful experience of when the market won’t make the same value judgement as you,"August 31, 2022"
Nella,Which is exactly one of the reasons why we all bought Macans???,"August 31, 2022"
Tracky,Not for it’s looks though. !!,"August 31, 2022"
Nella,"Each to their own, I think Macan are beautiful looking cars. Barely changed since introduction and all Gens stunning.","August 31, 2022"
Tracky,"Really!?I thought I was supposed to be the fanboyPretty it is notGreat engineering it is, even with only an Audi engine in the later ones","August 31, 2022"
Jon A,Thank goodness for the Audi engine as I think it might be superior to the 3litre Porsche units that preceded it?,"August 31, 2022"
robbie,"Hi, I was also looking at the Grecale whilst waiting for my new Macan S and the sales guy send me a spreadsheet with the full technical spec, pricing, options list etc.. but having just tried to upload this the file upload reports invalid file format, does anyone know how to upload a .xls spreadsheet?There is a huge price difference with the entry level GT (300hp) starting from £58,500 followed by the Modena (330hp) at £64,500 and then the top of the range Trofeo (530hp) coming in at £95,590, they have an impressive list of standard kit with the Modena appearing to be the best value if you don't mind having a 2ltr engine!  My biggest concern would be the unknown residuals and with only 10 dealerships around the UK you probably will not live close to one, living near Tewkesbury I would have to go to either Cribbs causeway in Bristol or Solihull whereas my Porsche dealership is less than 2 miles away, a tad more convenient!","August 31, 2022"
crockers,Yes dealerships are sparse. Swindon Dick Lovett used to have one next to the Porsche dealer. It was combined with the Ferrari dealership. But it’s no longer there as they gave up the franchise.,"August 31, 2022"
andreas,"Come on, we all know that the residual values will be dire!","August 31, 2022"
andreas,People don't give up profitable or successful franchises.,"August 31, 2022"
andreas,"This is all so subjective, isn't it?  I reckon the Macan is quite a pretty car; I tend to rate cars on how pleasurable/easy they are to wash by hand, and the Macan scores highly here.  It has a lot of very subtle styling features, and is certainly easy to clean.  And itlooksright, from any angle.","August 31, 2022"
Rhys2004,"Life is too short to worry about depreciation.The car looks great, enjoy","August 31, 2022"
andreas,Surely that depends on how old/ill you are?  I still think that chucking £75K or so down the drain just in depreciation to run a car for 3 years is more than I'm happy with.,"August 31, 2022"
Wing Commander,Nice!,"August 31, 2022"
Tracky,That looks nice !!,"September 01, 2022"
crockers,Looks aren't everything. I think the Stelvio is a stunner. Had one for a 48 hr test. Thought we'd pop. over to the Brecon for a spin. 20 miles into the trip the ride was so so awful we decided to knock that on the head and turned around.,"September 01, 2022"
Tracky,"My mrs wanted the Stelvio Quad after driving it, probably more than the Porsche - I just couldn’t bring myself to lose so much money on an expensive Italian suv …..","September 01, 2022"
martinto8,Can’t wait to see the Grecale in the flesh!! Move over Python GTS!,"September 02, 2022"
Col Lamb,"Macan killer, certainly with a V8 and 557 horses, also kills it with the price £170k plus.","September 21, 2022"
AndyC160,And with the looks(sarcasm mode),"September 21, 2022"
New User,Don't think Bentley will lose many Bentayga sales to this outside Germanybut bless Mercedes for trying nevertheless,"September 21, 2022"
FirstSeaLord,What a munter.,"September 21, 2022"
EDZ,"Grecale -v- Macan by an Owner of Both.This comparison is all written in my own honest opinion and having owned Porsche Macan’s (SD, S and GTS) for over eight years prior to collecting my Grecale Trofeo Primaserie. This comparison is jumping straight out of a Macan GTS (which I had been driving for 18 months prior) into my Grecale Trofeo Primaserie, having now owned the Grecale for three weeks.I very much appreciate that all views and opinions are individual and subjective to everyone, and I am not looking for a debate on my opinions, just quoting them, as a few members on the forum have asked for them.The Grecale is very much on par if not slightly better comfort wise, the fit and finish both internal and external is better on the Grecale, the quality of materials internally are far superior to the Macan, far less plastic. The steering wheel stock (indicators etc) exude quality rather than cheap plastic VW parts bin on the Macan, seat, and head rest backs full quality leather rather than plastic on Macan, in fact almost everything is leather in the Grecale and so much not leather in the Macan. Space inside the Grecale is outstanding and far greater than the Macan especially for rear passengers, my adult kids keep saying how comfortable they are now in the rear and have so much more of a luxury feel and the heated seats and individual touch screen climate controls adds even more to that feel. As for the Sonus Faber 21 speaker, 1285w surround 3D stereo system, this is fantastic and far better than the Burmester top end Porsche stereo (at an extra cost by Porsche of over £3600.00) I had in the Macan. The pedal position is better in the Grecale more comfortable, takes a while in a Macan at first to get comfortable due to the protruding lump in the gearbox tunnel pushing into that area, which would make a long drive uncomfortable occasionally for me.So many little thoughtful touches in the Grecale but not in a Macan, such as being able to put down rear seats from both inside the boot/trunk and also in car rear, door handles lighting up on entry at night, complete stereo, volume, channel, next track controls on back of steering wheel etc ect. Tech wise the Grecale is in a world apart from the Macan, who’s tech is so dated now and so yesterday.To sum up both internally and externally the Grecale exudes elegance, style and quality with a touch of modernism, and so up to date tech wise, whereas the Macan is so dated now unfortunately all round, even after a couple of little face lifts over the last nine years, and too much plastic / leatherette, and far more cheap looking black plastic externally now on the Gen 3 Macan.Performance “WOW”! This is something that stands head and shoulders above the Macan, you do not expect such grunt the first couple of times you put your foot down especially in sport and corsa modes. The sound and feel are so much more theatrical, and power feels more like 590hp than the 530hp quoted, the car encourages you and it really does not feel like an SUV when throwing it around. The steering, though just a tad light for me, but very precise and you soon get to know it, braking is good and confident no fad, this is a real drivers car, don’t get me wrong the Macan GTS is a good car but more of a anyone can drive feel (even Miss Daisy herself), you don’t get that theatrical feel or as much feeling that you are in a real performance car with the Macan.You definitely would not be disappointed with the Grecale Trofeo, in the way it goes, its power, steering and stopping its right up there with some of the very best, a true driver’s car with so much theatre, sound and feel and forgetting that you are in an SUV.The comfort levels you can obtain by changing varying parameters in suspension is good both around town, open roads and even twisty county lanes, though I must say on the UK’s bad roads apart from a few, in corsa mode you need to select soft damper mode as in hard it can be a little rough, but on track if you so wish I’m sure hard mode would be perfect. Having now played with varying setting it is easy to select what you need or want for your own required comfort levels, and for me it covers all of them areas perfectly.My Conclusion: The Grecale beats the Macan easily on almost every level and I am so happy that I took the plunge and turned my back on the Macan. Sorry Porsche but having owed one of your cars in differing model for the last 16 years and Macan’s for the last 8 years, you have lost a customer, who regrets the change to a Grecale not one little bit.And I must say despite reading on this forum of owners having tech issues etc, so far, my car has been great with no issues whatsoever, long may that last. I now come to expect tech issues and updates are and were required as I had many of them, and even one only two days before getting the Grecale on my past Macan’s.Thanks for reading and hope it will be a little help to anyone contemplating buying a Grecale or. and thinking of moving away from a Macan.","May 25, 2023"
hellohello,"Thanks for this! As I was also considering a Macan. Do let us know if you experience any issues, as some of the ones I read on this forum did scare me a little.","April 28, 2023"
edit,NiceWhat model of Porsche did you had except de Macan variations?,"April 28, 2023"
EDZ,"Will doAnd then best you don't read the Macan forum as they have just as many issues if not more, some of which have been on going for a couple of years and repeat themselves, along with mechanical issues as well. Leaking pano roofs, rear washer failure filling rear cabin with water, transfer box failure, timing chain covers leaking oil, failing ABS sensors, panel miss alignment when car gets hot, etc etc. Porsche have also removed several things from the Macan and not replaced, such as no electric steering column anymore back to manual, to name but one. All modern technology just like your mobile phone unfortunately get bugs and require regular updates and fixing etc, As I have said earlier. ! the Porsche Macan has been out for over nine years and stlll has issues, both electronically and mechanically, as do many other manufacturers.","April 28, 2023"
EDZ,"Hi edit.I've had Cayenne, 718 Cayman, 718 boxer and 911's. I'm getting to old to get in and out of low sports cars now, and not many are comfortable on long journeys either and the Cayenne was a little on the large size for my liking. I now only have the one all rounder car, rather than a two car garage, although my other half does have a Mini Cooper S.","April 28, 2023"
GrecaleNYC,"Nice to see you here on this forum@EDZ, (I’m “macanS” on the Macan forum, joined Dec. 2013), and thanks for your review.I’ve been eyeing the Grecale for many months now and have been driving my Macan S since July 2014. The trofeo is a big price jump from the Modena so I’m hoping I can make that leap. Performance wise, I’m sure I’ll be “satisfied” with Modena as compared to my now aging Macan, but the overall upgrade in build and design of the Maserati is nice to hear about from a long time Macan owner like yourself.Time will tell what will happen with my next car purchase, I’ll keep you posted!","April 30, 2023"
